mean,std,skew,kurt,label
-0.718652,10.962845,2.021089,24.628500,1
-1.073954,10.997305,-1.211144,23.614837,1
-0.105836,10.091981,0.026456,3.602636,1
-0.453199,9.507935,0.034437,3.077961,1
-0.375964,10.995704,1.290237,21.991301,1
-0.073954,10.340275,0.915274,9.460421,1
-0.251429,9.864949,0.132338,3.739226,1
0.030755,9.555154,0.024729,3.259442,1
-0.553357,10.717519,-0.374693,10.047629,1
-0.375226,10.138946,0.056550,4.022697,1
-0.604184,9.680905,-0.001287,3.984438,1
-0.458879,10.056776,0.031210,3.963679,1
-0.357921,11.770297,-2.097887,36.048382,1
-0.376272,9.971844,0.023275,3.660998,1
-0.218029,9.740893,0.286858,3.247057,1
-0.642524,10.074627,-0.305057,3.804920,1
-0.531295,10.815021,-1.438959,19.751335,1
-0.287514,9.959553,-0.069379,5.462694,1
-0.213293,9.617725,0.192636,3.774903,1
-0.077911,9.283748,0.215011,3.417400,1
-0.437719,11.256670,-1.336945,18.519317,1
-0.402557,9.778898,-0.090157,4.751410,1
-0.151620,9.325632,-0.104220,4.172776,1
-0.007196,9.500816,-0.027133,3.789384,1
-0.173230,10.915093,-0.420591,10.095923,1
-0.249337,9.868336,0.054012,4.825699,1
-0.254278,9.833460,0.220707,3.788000,1
-0.261783,9.893581,0.270281,3.188133,1
-0.514196,10.849682,-2.766916,44.778950,1
-0.136160,9.802744,0.178926,3.989510,1
-0.308899,9.170036,0.187812,3.583798,1
-0.257426,9.626813,0.158297,3.480934,1
-2.342782,11.090745,1.124291,17.106009,1
-2.719075,11.043140,2.920781,43.119934,1
-2.830468,10.115308,0.172616,3.642776,1
-2.486877,10.719870,0.002324,4.306709,1
-3.090160,10.341977,-0.266139,5.446353,1
-2.944342,10.747849,-1.464526,20.534675,1
-2.742920,10.173522,-0.059554,3.718307,1
-2.636816,10.191331,0.396002,4.402081,1
-2.941307,11.244335,-0.125727,14.928593,1
-2.847280,10.044580,-0.084012,3.956114,1
-2.499569,9.845193,0.390000,3.319347,1
-2.807443,10.262500,0.049222,7.026005,1
-2.929887,10.639815,-1.844147,31.498310,1
-2.490301,10.738343,-1.295760,23.160893,1
-3.277742,10.151401,-0.120424,3.459249,1
-2.117351,11.547908,-1.671005,23.307575,1
-2.625929,10.320200,0.318766,7.103998,1
-2.502583,10.894810,1.260268,24.444486,1
-2.428075,9.703659,0.428130,3.529323,1
-2.874652,10.404354,0.358070,6.708328,1
-2.585743,10.830384,0.825769,7.209060,1
-2.607107,9.579698,0.234417,4.302964,1
-2.564112,9.195302,0.393591,4.020618,1
-2.039767,10.390988,0.935987,9.586031,1
-2.567865,11.047415,0.873923,20.701059,1
-2.833748,9.277348,0.094313,4.324451,1
-2.882361,9.320466,-0.081039,5.601545,1
-2.978848,11.080674,2.162915,46.576737,1
-2.927304,11.602412,-2.129065,39.811095,1
-2.506842,9.500363,0.241948,3.989635,1
-1.103884,11.930337,-4.123217,90.337162,1
-1.538980,11.589118,1.263112,18.283541,1
-1.440463,9.826461,0.291616,3.294993,1
-1.537750,9.711697,0.100533,3.442056,1
-1.730581,10.779341,-0.151929,8.727531,1
-1.105299,10.949982,-0.386019,32.745012,1
-1.392116,9.765241,0.313143,3.549215,1
-1.315619,9.719594,0.262812,3.736698,1
-1.546751,10.191465,-0.305485,7.407420,1
-1.160104,11.091793,-0.628871,19.182657,1
-1.490183,10.091917,0.001567,3.350554,1
-1.461745,9.838343,0.099735,3.352025,1
-1.162154,10.956256,0.324390,7.307632,1
-1.015065,11.183128,-0.380878,25.244954,1
-0.880421,9.831177,0.443189,2.951478,1
-1.332965,9.829695,0.211095,3.247869,1
-1.426767,10.914177,-0.715102,9.560118,1
-1.106345,10.908405,-0.541148,9.446559,1
-1.067532,10.216435,0.036396,3.148162,1
-1.421620,9.827231,0.107600,3.434176,1
-1.022877,10.394084,-0.234303,10.128086,1
-1.486020,10.948414,0.031428,11.282147,1
-1.206666,9.843429,0.283744,3.312193,1
-1.425741,9.839530,0.047798,2.941226,1
-1.003563,10.827635,0.033494,5.729014,1
-1.366898,11.583908,0.020725,22.473711,1
-1.270021,9.718726,0.258259,3.326516,1
-1.727034,9.718410,0.017641,3.238371,1
-1.163548,11.717716,-0.295804,11.078957,1
-1.028691,10.863285,0.366836,4.146811,1
-2.666382,9.978682,0.707510,9.759412,1
-3.152058,11.423753,0.290700,18.105255,1
-2.230589,9.632137,0.413012,4.530370,1
-2.772957,9.522272,0.036497,4.852731,1
-2.921419,9.609859,-0.007050,4.549977,1
-2.390718,9.441887,0.097111,4.360803,1
-2.954204,11.377638,0.751963,32.986993,1
-2.823415,10.455774,0.058147,6.967253,1
-2.902146,10.592810,-2.656493,51.226676,1
-2.638518,9.436335,0.291796,3.901268,1
-2.886236,11.986428,-0.932531,22.735416,1
-2.564912,10.234886,0.484849,6.919788,1
-2.576681,10.964264,1.904972,26.302465,1
-2.913997,9.428573,-0.004681,3.771344,1
-2.474760,9.215974,0.525348,4.424591,1
-2.504203,9.469319,0.260420,4.397068,1
-2.639072,11.438912,0.618259,13.619212,1
-2.459403,11.249592,0.705054,23.382629,1
-2.597573,9.516012,0.254360,3.817074,1
-2.343951,9.572978,0.327700,3.653072,1
-2.745770,15.172116,-0.485108,35.679062,1
-2.793665,9.691263,0.110545,4.514901,1
-2.320495,10.562656,0.804295,6.545721,1
-2.339009,9.342921,0.351712,4.033279,1
-2.708680,9.260376,-0.051232,4.453934,1
-2.210865,10.459981,0.338347,11.371964,1
-2.751449,10.429775,-0.095173,5.934608,1
-2.334027,11.407393,2.105719,60.228858,1
-2.678479,9.538815,0.187532,4.126832,1
-2.594065,9.454733,0.224178,3.869768,1
3.420506,9.010652,0.135258,3.616398,1
3.344050,8.936752,-0.006417,3.212980,1
3.473588,8.980257,0.090679,2.655750,1
3.300830,8.820657,0.028355,2.693140,1
3.231529,9.003235,0.011254,3.995068,1
3.035848,8.723646,-0.107918,3.400674,1
3.273355,8.772150,0.379639,3.181590,1
3.182383,9.015810,0.042788,3.167714,1
3.286764,8.950338,0.087849,3.504397,1
3.488433,9.526243,0.195741,2.873399,1
2.933333,9.105921,-0.249101,2.652255,1
3.128235,8.691677,0.008336,3.263696,1
3.460589,9.001050,0.206251,3.807933,1
3.190175,8.836157,0.313960,3.154191,1
3.060042,8.664972,0.103120,3.431320,1
3.591830,9.044635,0.218954,3.372450,1
3.400885,9.224235,0.063982,3.560160,1
3.043209,9.192954,-0.074727,3.588733,1
3.545595,8.828890,0.190124,3.184018,1
3.347905,9.054084,0.169224,3.720869,1
3.368756,8.920169,0.133502,3.169958,1
3.465961,8.813515,0.098073,2.980765,1
4.015648,9.089218,0.519827,3.291937,1
3.287831,9.199604,0.121068,2.624175,1
3.107240,8.886234,-0.047292,2.992476,1
3.278850,8.642490,0.102725,3.519440,1
3.557815,9.256063,0.352156,3.207129,1
3.232165,9.013383,0.322971,3.369350,1
3.016924,8.893190,0.273890,3.525012,1
3.853128,9.122500,0.163169,3.611549,1
2.760717,9.451045,0.060272,3.663163,1
2.800124,9.633424,0.017062,3.695645,1
2.794896,9.477475,-0.038242,3.919543,1
2.775664,9.261126,0.229338,3.792044,1
2.776238,9.190789,-0.063970,4.068177,1
2.710649,9.524190,0.047439,3.826001,1
2.700336,9.406178,0.052132,4.290350,1
2.718932,9.136173,0.072689,3.979771,1
2.424939,9.161253,0.106696,3.832102,1
2.872418,9.575600,0.066278,3.694563,1
2.546399,9.344594,0.167112,3.440305,1
2.766540,9.056011,0.234864,3.841718,1
2.703965,9.207178,0.195045,3.804059,1
2.492804,9.434266,0.134498,3.718613,1
2.666772,8.881294,0.346544,3.630357,1
2.468692,9.688279,0.185063,3.564493,1
2.393056,9.382587,0.033681,3.349069,1
2.731911,9.634912,0.011815,4.168055,1
2.899646,9.448098,0.129866,3.933591,1
2.723422,9.279881,0.314381,3.817087,1
2.699700,9.060815,0.112108,3.433175,1
2.879861,9.120802,0.416570,3.592191,1
2.720265,9.390105,0.056711,3.638359,1
2.660580,9.974758,0.147243,3.737498,1
2.841130,9.739979,0.069851,4.251806,1
2.478513,9.493956,-0.109102,4.183490,1
2.717210,9.325937,0.238711,4.180580,1
2.813820,9.265540,0.219107,3.594367,1
2.570695,9.071397,0.117105,4.358983,1
2.855619,9.239117,0.107530,4.139406,1
1.847860,8.664354,0.074002,3.884250,1
1.581320,8.807118,0.006749,3.233285,1
1.716927,9.130179,0.108121,3.557654,1
1.799288,8.873309,-0.110509,4.234846,1
1.623002,8.748426,-0.089770,4.445248,1
2.150136,8.685899,0.188840,4.724296,1
1.834184,9.022011,0.107111,3.956591,1
1.999890,9.158332,0.161795,3.639126,1
1.914823,8.594833,0.388386,4.267414,1
2.055904,8.603387,0.382354,3.522679,1
1.462094,8.501879,0.122295,4.106321,1
1.949780,8.641085,0.120926,3.709179,1
2.178717,9.317673,0.211097,3.586499,1
1.550750,8.425505,-0.030143,4.020694,1
1.756949,9.016694,0.260027,3.822318,1
1.920133,9.076217,0.182348,3.706873,1
1.519400,8.634728,0.305206,3.753271,1
1.405814,8.804792,0.097650,3.937637,1
1.126008,9.346973,-0.034431,3.366914,1
1.580397,8.775132,0.341161,3.916930,1
2.000505,8.832293,0.330276,3.741018,1
1.570494,9.077624,0.069638,4.203423,1
1.626303,8.523464,0.041586,3.635708,1
2.073762,9.170171,0.489328,3.540140,1
1.494079,8.949945,0.136435,4.129081,1
1.422154,8.706686,0.064930,3.831494,1
1.404542,8.865217,0.342735,3.916934,1
1.810544,9.129943,0.071285,4.338468,1
1.557905,9.097113,0.201400,3.972341,1
1.855156,9.086658,0.465069,4.123469,1
1.819278,9.403323,0.195369,3.892664,1
1.920440,8.539009,0.030414,3.860317,1
1.656894,8.700684,0.138499,3.810763,1
1.631696,8.752551,0.142813,3.772513,1
2.085634,9.014527,0.522114,3.881689,1
2.019491,9.258397,0.073357,3.798078,1
0.971846,8.873866,0.172502,3.574831,1
1.252430,9.073429,0.134721,3.525597,1
1.595159,9.024504,0.290282,3.815582,1
1.709402,8.879394,0.183066,3.877341,1
2.060087,8.777466,0.384520,3.434034,1
1.514172,8.980304,0.164700,3.669355,1
1.562354,8.909608,0.203916,4.031944,1
1.725169,8.781537,0.117329,4.153978,1
1.938770,8.453510,0.122037,4.393974,1
2.271289,9.263614,0.189863,3.893795,1
2.246583,8.700273,0.455650,3.852490,1
1.347974,8.766859,0.258203,3.787798,1
1.301781,8.732763,0.222073,4.326183,1
1.589213,8.867861,0.074659,3.695497,1
1.459142,8.568190,0.406576,3.966057,1
1.358144,8.768712,0.112506,4.158976,1
2.115999,9.007862,0.221472,3.870344,1
1.988388,8.865759,0.108147,4.096625,1
2.064761,9.055024,0.217916,4.086812,1
1.610311,8.865521,0.163323,3.582110,1
1.574738,9.136921,0.186150,3.468152,1
1.754386,9.120037,0.409307,3.674118,1
1.637191,9.173334,0.323497,3.719029,1
1.532997,8.903620,0.085694,3.761827,1
1.767980,8.942478,0.372077,4.042701,1
1.181654,9.089430,0.243306,3.652769,1
1.611193,8.734638,0.255161,3.792747,1
1.076083,8.684428,0.176908,4.015909,1
0.800112,8.886936,0.091870,3.817617,1
1.374382,8.503077,0.091318,4.302947,1
1.842262,8.952179,0.165751,3.838196,1
1.678012,8.907379,0.177251,3.585080,1
1.442719,8.744867,0.267313,3.960134,1
1.477041,8.947714,0.252197,4.095439,1
1.235146,8.829999,-0.030404,4.153013,1
2.025396,8.920458,0.296244,3.889874,1
1.160310,8.839295,0.037567,3.515376,1
1.612505,9.410998,-0.028307,3.432161,1
1.543061,8.864683,0.389039,4.105884,1
1.154179,9.015234,0.087913,4.110367,1
1.337231,8.779560,-0.039570,3.992776,1
1.602007,9.261539,0.101056,4.406672,1
1.460762,9.190678,-0.041224,3.896228,1
1.611685,8.593614,0.154920,4.173701,1
1.619373,9.330173,0.276794,3.918185,1
1.614740,8.870004,0.174580,4.101702,1
1.304057,8.882035,0.136728,3.883272,1
1.325995,8.799099,0.311673,4.240876,1
2.117987,9.097117,0.209488,3.385790,1
1.683835,8.908170,-0.010668,4.204672,1
1.082788,9.203693,-0.196558,4.194606,1
1.460823,8.571304,0.082075,4.442036,1
1.555527,8.781965,0.346827,3.781033,1
0.982177,9.427810,0.418493,3.771742,1
1.415901,9.284295,0.064270,4.177846,1
1.310720,9.197412,0.143255,3.558380,1
1.172448,8.836637,0.319315,4.458841,1
0.944228,8.663857,0.110056,3.946725,1
1.549581,8.548736,0.259727,4.297078,1
1.704051,8.797854,0.039375,4.013648,1
1.955542,8.925813,0.279562,3.275094,1
1.231189,8.790467,0.282681,3.908032,1
0.888931,8.779364,0.089131,4.294540,1
1.511958,8.810894,0.086266,4.197087,1
1.867809,8.655216,0.160038,4.207138,1
1.409935,8.405762,0.240979,3.770170,1
1.027409,8.890171,0.110252,3.789247,1
1.475667,8.710958,-0.051235,4.348510,1
1.549253,8.433669,0.072847,4.303530,1
1.726194,8.790581,0.092496,4.649279,1
1.123240,9.039562,0.197342,3.755450,1
0.977894,8.793325,0.089594,3.856513,1
1.242343,8.936009,0.153217,3.981837,1
1.408212,9.048818,0.085179,3.755295,1
1.750552,8.993376,0.373217,3.635307,1
1.301166,8.867187,0.174863,3.584527,1
1.471690,8.919849,-0.003099,3.787605,1
1.115039,8.934707,0.063173,3.722865,1
1.670713,8.919555,0.180598,3.879567,1
1.255075,9.183408,0.261469,3.936590,1
1.364807,8.901924,0.299381,3.739945,1
0.882944,9.383567,0.070182,3.414894,1
1.183068,9.183571,0.002552,3.768890,1
1.651612,8.871825,0.141153,4.123617,1
3.166288,8.768479,-0.052407,4.009079,1
3.232226,8.761187,0.114325,3.538253,1
3.233046,8.677085,0.261111,3.707489,1
3.995432,9.106488,0.431087,4.178039,1
3.232595,9.382481,-0.088955,3.982045,1
3.263268,9.277098,-0.024610,4.470698,1
3.554001,8.662931,0.127596,4.240351,1
3.720814,9.299224,0.219954,4.518665,1
3.209693,9.475435,0.179040,4.230143,1
3.722926,9.169630,0.246879,4.091639,1
4.092842,9.437606,0.451196,3.908361,1
3.262509,9.165609,0.248498,3.947046,1
3.552587,9.348626,0.514030,4.506916,1
3.149845,8.874153,0.201771,4.665918,1
3.330354,9.297238,0.081856,4.545105,1
3.623097,8.876986,0.346536,4.735906,1
3.330108,9.110363,0.170130,4.362961,1
3.503482,8.642833,0.433495,4.956676,1
3.538399,8.983484,0.376641,4.814401,1
3.469262,8.932449,0.422708,4.501083,1
3.290127,8.947864,0.129020,4.519851,1
3.609852,9.123148,0.254653,4.880578,1
2.858209,9.669693,0.074042,4.184132,1
3.696026,9.186739,0.279566,4.187549,1
3.338227,9.177463,0.186944,5.062564,1
3.201267,8.974743,0.272519,4.947419,1
2.553616,8.954789,0.488196,4.505010,1
1.907318,9.478629,0.137269,4.479344,1
2.740850,9.280743,0.096973,4.166568,1
4.000357,9.141604,0.556123,4.320287,1
1.446922,8.629666,0.393662,3.880886,1
0.905498,8.896146,0.045307,4.158123,1
0.549995,8.970029,0.058083,3.985046,1
0.650132,9.344034,0.077751,3.496625,1
0.547002,8.787984,0.088291,4.072137,1
0.154143,8.716512,-0.099736,3.855340,1
0.405551,8.967417,0.221844,3.483273,1
0.636416,9.016857,0.434215,3.820558,1
1.341782,8.753222,0.224171,3.894841,1
1.067062,9.087362,0.256138,3.177070,1
0.960897,8.938007,0.400656,3.321811,1
0.756338,8.838990,0.078821,3.947762,1
1.448296,9.221977,0.434635,3.870950,1
1.006229,9.055180,0.268944,4.087822,1
0.975290,8.982191,0.124412,3.265745,1
0.704629,8.625345,0.259952,3.590757,1
0.811307,8.395884,0.308476,4.053281,1
0.781270,8.623702,0.144809,3.803396,1
1.382994,8.934741,0.214309,3.593163,1
1.091809,9.305069,0.270869,3.456909,1
0.612058,9.135607,0.149816,3.331900,1
0.810671,9.004231,0.246429,3.793836,1
1.035487,9.144466,0.251651,3.910057,1
0.135034,8.694086,-0.088809,4.221321,1
0.666371,8.896330,0.170216,3.476269,1
-0.424023,9.040385,-0.221284,3.859928,1
0.946934,8.786657,0.279536,3.683427,1
1.332823,9.012983,0.487341,3.507632,1
0.482909,8.526208,0.075720,3.887995,1
0.545939,8.975253,0.422539,3.448436,1
1.029521,9.161993,0.102744,3.380785,1
1.307112,8.678526,0.127920,3.433788,1
1.477882,8.718928,0.191140,4.006554,1
0.896251,9.143499,0.009635,3.405691,1
0.696326,8.736319,0.137470,4.087016,1
1.179521,9.077313,0.052063,3.584888,1
1.259627,8.812145,0.007568,3.689327,1
1.157829,8.833916,0.178338,3.485019,1
0.563199,8.604910,0.080845,3.641520,1
1.412108,8.904343,0.019521,4.375831,1
1.811795,8.952173,0.243949,3.857512,1
1.640635,8.861024,0.295306,3.884137,1
