mean,std,skew,kurt,label
0.286408,9.658194,0.239434,3.735695,0
0.643202,9.636764,0.130828,3.798218,0
0.844501,10.277438,0.368925,5.924489,0
0.731919,10.354476,-0.093680,4.454287,0
0.114490,9.678352,0.188781,4.336816,0
0.092592,9.274268,0.202858,4.111779,0
0.296003,9.610376,0.248756,4.057720,0
0.454471,9.196862,0.198250,4.066140,0
0.146126,9.842245,0.273336,4.324392,0
0.386770,11.722578,0.488227,15.426444,0
0.087836,9.768160,0.286549,5.671403,0
0.604964,9.378147,0.326161,3.879099,0
0.108667,9.571096,0.182846,4.028262,0
0.251532,9.484407,0.064784,3.823906,0
-0.095052,9.166441,0.180051,4.061442,0
0.713507,9.628425,-0.083576,3.826099,0
-0.364134,11.265371,-0.116551,6.871500,0
0.380660,9.374018,0.371074,3.934450,0
0.605333,9.453288,0.196412,4.489552,0
1.097981,10.794867,0.409914,4.916316,0
1.159613,9.603764,0.102316,4.371252,0
1.335344,9.445142,0.202743,3.759416,0
0.938077,9.173627,-0.070098,3.750390,0
1.463591,9.419663,0.410822,3.792837,0
1.254685,9.672310,0.302951,4.150208,0
1.050639,9.768435,0.127482,3.739012,0
0.744733,12.300227,-0.788632,10.991842,0
0.861293,9.336096,0.011346,3.605362,0
0.901684,9.550167,0.171691,3.685670,0
1.207651,9.610672,0.179592,3.755620,0
0.799456,9.540319,0.302483,4.215700,0
0.531214,9.494529,-0.001646,4.177681,0
1.194140,9.657141,0.262706,3.842610,0
1.219010,11.899723,-0.244501,8.551510,0
1.055621,10.616054,-0.214134,6.025353,0
1.029357,9.274014,-0.022329,3.260427,0
0.848499,9.662852,0.061109,3.694321,0
1.291283,9.226566,-0.008126,4.053375,0
1.334073,9.907895,0.079512,3.682720,0
0.969549,9.881776,0.263619,3.407501,0
1.077088,10.155727,0.184849,3.683311,0
1.388529,12.150671,-0.062987,10.640558,0
1.255895,9.573735,0.224935,3.896723,0
0.866603,9.760162,-0.208700,4.358220,0
0.684044,9.389234,-0.035679,3.608697,0
0.895882,9.424916,0.196280,4.092500,0
1.134291,10.067605,0.070791,4.131730,0
1.055211,10.366234,0.042976,3.534626,0
1.487288,10.950590,0.534572,4.919238,0
1.312873,9.445915,-0.003110,4.073398,0
1.047440,8.893010,0.224168,4.506979,0
1.351583,9.211107,0.179102,3.947958,0
1.275147,9.655355,0.027499,4.160641,0
1.218190,9.096610,0.264376,4.107415,0
0.985501,9.082581,0.279921,3.990929,0
1.079097,9.247674,0.350105,4.302980,0
1.525674,9.217378,-0.014740,3.922077,0
1.335057,9.145700,0.510453,4.778579,0
1.646724,9.451112,0.270310,4.072022,0
1.456538,8.942782,0.237299,4.090481,0
1.547367,9.450169,0.322065,4.467938,0
1.369892,9.115160,0.149098,4.024132,0
1.148480,9.121828,0.221598,4.051192,0
1.745570,9.125344,0.161405,4.608868,0
1.041413,8.980965,0.179834,4.101721,0
1.767959,9.170549,0.148635,4.113824,0
1.747702,9.244828,0.387088,4.467098,0
1.428039,9.225273,0.241051,3.970764,0
